"﻿""Case""",ME/C Case,DBF,Age From,Age To,City,County,State,Biological Sex,Race / Ethnicity,Date Modified
UP5025,ME/C Case 92-ME-242,04/09/1992,25,35,Kansas City,Jackson,Missouri,Male,Uncertain,05/23/2025
UP5022,ME/C Case 92-ME-159,03/08/1992,34,47,Kansas City,Jackson,Missouri,Male,Uncertain,09/17/2024
UP97065,ME/C Case 92-0158,03/05/1992,41,89,Independence,Jackson,Missouri,Male,Uncertain,11/04/2022
UP7401,ME/C Case 1991-2261,12/01/1991,30,70,City of St. Louis,St. Louis,Missouri,Female,Uncertain,09/17/2024
UP5308,ME/C Case 051991A,05/19/1991,26,31,Charleston,Mississippi,Missouri,Male,White / Caucasian,09/17/2024
UP81510,ME/C Case 2021-4825,04/05/1991,,,Pacific,Franklin,Missouri,Male,Uncertain,09/06/2023
UP5307,ME/C Case 89163543,07/03/1989,50,65,St. Louis,St. Louis,Missouri,Male,White / Caucasian,08/08/2025
UP4999,ME/C Case 89-ME-221,07/02/1989,29,49,Kansas City,Jackson,Missouri,Male,"White / Caucasian, Uncertain",09/17/2024
UP7464,ME/C Case 1989-0683,04/17/1989,20,40,St. Louis,St. Louis,Missouri,Male,Black / African American,09/17/2024
UP78050,ME/C Case 1989-216,01/29/1989,,,Columbia,Boone,Missouri,Female,White / Caucasian,02/19/2021
UP7362,ME/C Case 1988-0998,05/20/1988,20,40,St. Louis,St. Louis,Missouri,Female,White / Caucasian,09/17/2024
UP13349,ME/C Case 87-0186,05/26/1987,35,45,Warrenton,Warren,Missouri,Male,White / Caucasian,09/17/2024
UP4998,ME/C Case 1987-0795,04/21/1987,25,40,St. Louis City,St. Louis,Missouri,Male,Black / African American,09/17/2024
UP4997,ME/C Case BMA040108,03/03/1987,26,35,,Macon,Missouri,Male,Hispanic / Latino,09/17/2024
UP7581,ME/C Case 1986-1035,05/16/1986,30,35,City of St. Louis,St. Louis,Missouri,Male,Black / African American,09/17/2024
UP125783,ME/C Case A84/27,04/18/1984,,,Springfield,Greene,Missouri,Unsure,"White / Caucasian, Uncertain",02/14/2025
UP5296,ME/C Case 83-ME-363,12/18/1983,53,44,Kansas City,Jackson,Missouri,Male,White / Caucasian,09/17/2024
UP3199,ME/C Case CITY-1983-0441,02/28/1983,8,11,St. Louis City,St. Louis,Missouri,Female,Black / African American,05/07/2025
UP146063,ME/C Case 2025-4583,09/29/1981,,,Marston,New Madrid,Missouri,Male,White / Caucasian,07/17/2025
UP5310,ME/C Case 81-ME-148,05/16/1981,32,52,Kansas City,Jackson,Missouri,Female,White / Caucasian,09/17/2024
UP9556,ME/C Case CITY-1981-2309,01/07/1981,16,25,St. Louis,St. Louis,Missouri,Male,White / Caucasian,09/17/2024
UP5299,ME/C Case 79-ME-129,04/06/1979,35,50,,Jackson,Missouri,Female,White / Caucasian,06/30/2025
UP8277,ME/C Case 1978-2002,09/03/1978,25,55,City of St. Louis,St. Louis,Missouri,Male,White / Caucasian,09/17/2024
UP76381,ME/C Case A-76-208,08/15/1976,26,32,Columbia,Boone,Missouri,Male,White / Caucasian,12/11/2020
UP52274,,03/07/1974,,,Illmo,Scott,Missouri,Female,"White / Caucasian, Uncertain",02/15/2024
UP15034,ME/C Case 68-47192,05/15/1968,25,45,St Louis,St. Louis,Missouri,Female,White / Caucasian,09/17/2024
UP14313,ME/C Case 15-6758,02/01/1968,2,3,West Alton,St. Charles,Missouri,Female,White / Caucasian,09/17/2024
UP144916,ME/C Case GC-43-043,03/19/1943,25,35,Springfield,Greene,Missouri,Male,White / Caucasian,06/11/2025
